Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DDX11L1	0	NA	NA	NA	NA	NA
WASH7P	29,1301680551046	0,136062264037648	0,440917911100088	0,308588652473141	0,757634453870442	0,941319124269709
FAM138A	0	NA	NA	NA	NA	NA
FAM138F	0	NA	NA	NA	NA	NA
OR4F5	0	NA	NA	NA	NA	NA
LOC729737	130,414601688531	0,150230157398682	0,237035652742263	0,63378717783874	0,526219722217118	0,864558119062207
LOC100132287	0	NA	NA	NA	NA	NA
LOC100132062	0	NA	NA	NA	NA	NA
LOC100133331	25,8916505070641	0,001443330994611	0,416075704642784	0,003468914379056	0,997232212325173	0,99971501534806
OR4F29	0	NA	NA	NA	NA	NA
OR4F16	0	NA	NA	NA	NA	NA
OR4F3	0	NA	NA	NA	NA	NA
LOC100288069	19,8557024276656	0,086561382331879	0,486756188139844	0,177833142014437	0,858854018614993	0,968723509326313
LINC00115	14,1578338443035	-0,274061087001085	0,567566063658398	-0,482870813724399	0,629187466333523	NA
LOC643837	117,328396109265	0,299740485281023	0,210484807670757	1,42404807547859	0,154432555799142	0,590855579907798
FAM41C	0,359044900198178	0,05165091979138	3,60484915463865	0,014328177844811	0,988568159267684	NA
LOC100130417	0,210172800824701	-1,11628725485927	4,0804728567969	-0,273568111842688	0,784416542477185	NA
SAMD11	20,3996579768678	0,857830165950781	0,553862046189667	1,54881557935281	0,121426059323962	0,535790309111688
NOC2L	2248,40090606669	0,180223563322312	0,097277756377239	1,85266981922788	0,063929698406114	0,417944341077949
KLHL17	140,951977581572	0,142383767555368	0,270782043367542	0,525824259927402	0,599010317050533	0,894173952605191
PLEKHN1	203,204844060959	-0,044852475440068	0,18391013929551	-0,243882559231811	0,807321777119352	0,954254704483481
C1orf170	4,04372170379997	-0,782469989997728	1,1249974563357	-0,695530452616628	0,48672293368572	NA
HES4	39,081545548187	-0,59911068127815	0,37896354489205	-1,58091903391079	0,113896551649607	0,524580823060075
ISG15	71,4466150161564	0,786069994612578	0,296100117225911	2,65474394936778	0,007936862803818	0,135798729085631
AGRN	3697,41565618031	-0,025170815657643	0,286733817377742	-0,087784607647039	0,930047871849228	0,985699768058326
RNF223	5,9667210426941	-0,521197151949368	0,889952351924374	-0,585646131303959	0,558113341062867	NA
C1orf159	70,9601976549959	0,000761236392794	0,332093613196258	0,002292234365688	0,998171063191518	0,99971501534806
LOC254099	0	NA	NA	NA	NA	NA
MIR200B	0	NA	NA	NA	NA	NA
MIR200A	1,73474240749398	0,788615053404198	1,6219142585922	0,486224872385489	0,626807738475674	NA
MIR429	6,29925218590081	-1,0816611364322	0,867269223884082	-1,24720341347749	0,212322921621586	NA
TTLL10	0,077498443996701	0,709978090492306	4,06479067863151	0,174665350967429	0,86134259510981	NA
TNFRSF18	0,58722289112805	1,32139619114428	2,75919621658922	0,478906205799934	0,632005355918211	NA
TNFRSF4	0,301072700201803	1,62164284006641	3,8100207526004	0,425625723681325	0,67038059302727	NA
SDF4	1887,09396929774	0,158835049419302	0,137589838076556	1,15440974158953	0,248332223195263	0,691329035923992
B3GALT6	197,217767043713	-0,155509922773497	0,179116079421144	-0,868207495809782	0,385280751473826	0,79484506854067
FAM132A	2,74814929522682	0,278550039219812	1,3038064237206	0,213643708262251	0,830824911968396	NA
UBE2J2	330,229073695134	-0,032342690120356	0,145383574650873	-0,222464540427105	0,823952274288572	0,957997292878331
SCNN1D	11,3109483261791	-0,329745385043524	0,677747646448381	-0,486531213751161	0,626590580106714	NA
ACAP3	387,810066751789	0,006256565510575	0,156894707546493	0,039877479670379	0,968190805438447	0,993053467442369
PUSL1	99,0289166959048	0,009574180646491	0,264891455994472	0,036143788068011	0,971167707291691	0,993789446168669
CPSF3L	682,15667867548	0,189460648515545	0,135913691461065	1,39397765213241	0,163324353258826	0,602934613130043
GLTPD1	143,967619485109	0,181621305773086	0,208854878695323	0,869605282422128	0,384516150003528	0,79484506854067
TAS1R3	2,39244949737672	-3,8273032069602	1,69634271778425	-2,25620870525468	0,024057563632056	NA
DVL1	705,731438699376	0,059526972731111	0,182995033488077	0,325292832250497	0,744959455180406	0,936585714627425
MXRA8	21,6234582973227	0,324037578946119	0,53045904356644	0,610862578131412	0,541290560857367	0,870245333989085
AURKAIP1	530,714765437668	0,214956490860461	0,141696034641019	1,51702545103005	0,129260258361002	0,549401973850287
CCNL2	1225,24500418022	0,081633195617383	0,125966534294729	0,648054628750702	0,516949617920328	0,859582423557261
LOC148413	194,316705068973	-0,038500639211275	0,178567144864157	-0,215608751769894	0,829292733327361	0,958877995013756
MRPL20	707,458869009447	0,109508423706207	0,138383510440842	0,791340119623727	0,428745542713214	0,815543641740463
ANKRD65	302,536198977216	-0,158342691280415	0,169998731867354	-0,931434543899811	0,351628828968224	0,7744095262593
TMEM88B	0,077498443996701	0,709978090492306	4,06479067863151	0,174665350967429	0,86134259510981	NA
VWA1	299,310212688755	0,156568593240474	0,385887340511551	0,405736537075611	0,684936193172551	0,916390893197778
ATAD3C	15,4419752654402	0,40378779266922	0,535375587851885	0,754214054266759	0,450720699820088	NA
ATAD3B	258,315851886985	0,297139069407798	0,20784001395661	1,42965285534397	0,152816677481158	0,588028534572144
ATAD3A	259,885290856372	0,367032700953081	0,179003445603835	2,05042254753793	0,0403232147717	0,340932088055981
TMEM240	0,635585028193025	-1,04533191300909	2,74006321177193	-0,381499196266025	0,702832867484658	NA
SSU72	1162,86785031699	0,03411374290386	0,110354421585046	0,309128917662527	0,757223462642006	0,941319124269709
C1orf233	39,6440983789508	0,094051688258347	0,397047671982897	0,236877571372331	0,812751770308739	0,954527448280214
MIB2	133,633194425943	-0,097379122450612	0,269245790071838	-0,361673704998804	0,717595879049079	0,925935022452462
MMP23B	0	NA	NA	NA	NA	NA
MMP23A	0	NA	NA	NA	NA	NA
CDK11B	282,563893892867	0,314210817105823	0,165882200884689	1,89418042098586	0,058201065990683	0,403147248771048
SLC35E2B	436,256920532561	-0,001677505911143	0,135663524965781	-0,012365194782945	0,990134253400899	0,998297016699939
CDK11A	123,247142116427	0,417682247922045	0,204065755664651	2,0468022503905	0,040677504634281	0,341953734839123
SLC35E2	123,382718664931	-0,187628884570769	0,202026761156218	-0,928732824784948	0,353027565086168	0,775450230865488
NADK	456,497109408782	0,105945064867877	0,131174597604542	0,80766449299333	0,419283749126149	0,811810812917289
GNB1	9536,62043329912	0,102348257550651	0,088080104982833	1,16199063989081	0,245239267015509	0,688797594252236
CALML6	7,04648272496285	0,425087438060165	0,805930297537951	0,527449382854536	0,597881557984773	NA
TMEM52	3,51725476719913	0,685746931342524	1,24028500994194	0,552894637801535	0,580335559440533	NA
KIAA1751	0,262306605865692	-1,70721385105242	4,0622846426788	-0,420259534035663	0,674295867840646	NA
GABRD	0	NA	NA	NA	NA	NA
PRKCZ	714,688929153509	-0,015881629518488	0,115501097363012	-0,137501979471009	0,89063402821554	0,976339985379528
C1orf86	195,680124518655	-0,00018929240121	0,200596826244938	-0,000943646042431	0,999247079503624	0,999826679619075
SKI	790,036964738495	0,185608342021445	0,138354127971009	1,34154538605699	0,17974344434867	0,621299199881242
MORN1	36,2873072685474	0,342994824807315	0,364605945404476	0,940727459687509	0,346844543206225	0,770461759165405
LOC100129534	22,8121344416015	-0,150475161515641	0,458630696867556	-0,328096576490376	0,742838642421076	0,935034905507593
